NO.,Product_name,Review,Rating,Sentiment
12,"dell inspiron athlon dual core 3050u - (4 gb/256 gb ssd/windows 11 home) inspiron 3515 thin and light laptop  (15.6 inch, carbon black, 1.8 kgs, with ms office)",good product but dilevary slow,4,2
13,"asus vivobook 15 (2021) core i3 10th gen - (8 gb/512 gb ssd/windows 11 home) x515ja-ej362ws thin and light laptop  (15.6 inch, transparent silver, 1.80 kg, with ms office)","if you can affort few thousands extra you can prefer other laptops with same config.i came to know about done limitations of this laptop-poor webcam not even suitable for day to day online classes-sound very low, need to connect external speakers-keypad not visible due to same colour of laptop body and keys. backlight not available.-low battery backupto save cost asus has done these compromises.performance wise doesn't see any issue, but since i'm using hp laptop also these small th...",2,0
14,"asus vivobook 15 (2021) core i3 10th gen - (8 gb/512 gb ssd/windows 11 home) x515ja-ej362ws thin and light laptop  (15.6 inch, transparent silver, 1.80 kg, with ms office)",good,5,2
15,"asus vivobook 15 (2021) core i3 10th gen - (8 gb/512 gb ssd/windows 11 home) x515ja-ej362ws thin and light laptop  (15.6 inch, transparent silver, 1.80 kg, with ms office)",all good but battery backup not good enough,3,1
16,"asus vivobook 15 (2021) core i3 10th gen - (8 gb/512 gb ssd/windows 11 home) x515ja-ej362ws thin and light laptop  (15.6 inch, transparent silver, 1.80 kg, with ms office)","i'll update this review again after a month usage...as of now, it's a good laptop, but battery is not upto the mark...",5,2
17,"asus vivobook 15 (2021) core i3 10th gen - (8 gb/512 gb ssd/windows 11 home) x515ja-ej362ws thin and light laptop  (15.6 inch, transparent silver, 1.80 kg, with ms office)",i love it ....❣️,5,2
18,"asus vivobook 15 (2021) core i3 10th gen - (8 gb/512 gb ssd/windows 11 home) x515ja-ej362ws thin and light laptop  (15.6 inch, transparent silver, 1.80 kg, with ms office)",good,4,2
19,"asus vivobook 15 (2021) core i3 10th gen - (8 gb/512 gb ssd/windows 11 home) x515ja-ej362ws thin and light laptop  (15.6 inch, transparent silver, 1.80 kg, with ms office)",best laptop 💻 👌 in the segment. classy performance 👏 because of ssd memory.battery 🔋 is good enough.design is so sleeky.recommend you to buy.,4,2
20,"asus vivobook 15 (2021) core i3 10th gen - (8 gb/512 gb ssd/windows 11 home) x515ja-ej362ws thin and light laptop  (15.6 inch, transparent silver, 1.80 kg, with ms office)",awesome quality and very likely,5,2
21,"asus vivobook 15 (2021) core i3 10th gen - (8 gb/512 gb ssd/windows 11 home) x515ja-ej362ws thin and light laptop  (15.6 inch, transparent silver, 1.80 kg, with ms office)",incredible laptop performance very good 👍,5,2
22,"asus vivobook 15 (2021) core i3 10th gen - (8 gb/512 gb ssd/windows 11 home) x515ja-ej362ws thin and light laptop  (15.6 inch, transparent silver, 1.80 kg, with ms office)",good looking and performance also good,4,2
23,"lenovo ideapad 3 core i3 11th gen - (8 gb/512 gb ssd/windows 11 home) 15itl6 thin and light laptop  (15.6 inch, arctic grey, 1.65 kg, with ms office)",i love it 💗💗 not because of prize but it's really fast working..and good product...must try it once.,5,2
24,"lenovo ideapad 3 core i3 11th gen - (8 gb/512 gb ssd/windows 11 home) 15itl6 thin and light laptop  (15.6 inch, arctic grey, 1.65 kg, with ms office)","first of all thanks to flipkart for a faster delivery, it was under 2days. you guys are awesome. the laptop is so much slik looking and classy. it is so much premium looking. the display is great and the performance is even faster. i am a student, doing my bachelor's, so for student work it is more faster than required. i just loved the laptop. but for gaming i don't know, because i can't play games that much. boot time is less than 6 second.",5,2
25,"lenovo ideapad 3 core i3 11th gen - (8 gb/512 gb ssd/windows 11 home) 15itl6 thin and light laptop  (15.6 inch, arctic grey, 1.65 kg, with ms office)","good laptop under 40k got it at 39k. good for students,professionals not built for heavy task but normal excel power point run smoothly. sound quality is average but audible. overall good laptop.",4,2
26,"lenovo ideapad 3 core i3 11th gen - (8 gb/512 gb ssd/windows 11 home) 15itl6 thin and light laptop  (15.6 inch, arctic grey, 1.65 kg, with ms office)",awesome specifications and reasonable price.. slim and well designed.. built quality is awesome,5,2
27,"lenovo ideapad 3 core i3 11th gen - (8 gb/512 gb ssd/windows 11 home) 15itl6 thin and light laptop  (15.6 inch, arctic grey, 1.65 kg, with ms office)","delivery was done after 8 days after purchasing quite long time taken.but overall product is great,compitable,slim & handy.. performance is outstanding in this range.everything works fine",5,2
28,"lenovo ideapad 3 core i3 11th gen - (8 gb/512 gb ssd/windows 11 home) 15itl6 thin and light laptop  (15.6 inch, arctic grey, 1.65 kg, with ms office)",nice product in this price range .. go for it,5,2
29,"lenovo ideapad 3 core i3 11th gen - (8 gb/512 gb ssd/windows 11 home) 15itl6 thin and light laptop  (15.6 inch, arctic grey, 1.65 kg, with ms office)",performance of this laptop is very nicedisplay quality is awesome,5,2
30,"lenovo ideapad 3 core i3 11th gen - (8 gb/512 gb ssd/windows 11 home) 15itl6 thin and light laptop  (15.6 inch, arctic grey, 1.65 kg, with ms office)",very nice laptop.,5,2
31,"lenovo ideapad 3 core i3 11th gen - (8 gb/512 gb ssd/windows 11 home) 15itl6 thin and light laptop  (15.6 inch, arctic grey, 1.65 kg, with ms office)",every thing is just fine but the tn display is so annoying as always,5,2
32,"lenovo ideapad 3 core i3 11th gen - (8 gb/512 gb ssd/windows 11 home) 15itl6 thin and light laptop  (15.6 inch, arctic grey, 1.65 kg, with ms office)",nice product in this price point i recommend you....you can go for it,5,2
33,"hp core i3 11th gen - (8 gb/512 gb ssd/windows 11 home) 15s-dy3501tu thin and light laptop  (15.6 inch, natural silver, 1.75 kg, with ms office)","this laptop has major scree issueviewing angle is very badi'm not going to enjoy multimedia in this pc.this os irritating.if you tilt your screen then you will see only black and white colours.everyone told me about hp is a brand that provides better service , build quality, coustomer satisfaction, display and also battery.i will never think about that hp laptop comes with wrost screen experience.**for those costomer who will read my review:-one thing that i have noticed about hp....",4,2
34,"hp core i3 11th gen - (8 gb/512 gb ssd/windows 11 home) 15s-dy3501tu thin and light laptop  (15.6 inch, natural silver, 1.75 kg, with ms office)","it is a very good laptop, starting speed is very fast, it starts in 2 to 3 seconds only. everything is nice with this laptop must buy. intel uhd graphics support is very good in this.",5,2
35,"hp core i3 11th gen - (8 gb/512 gb ssd/windows 11 home) 15s-dy3501tu thin and light laptop  (15.6 inch, natural silver, 1.75 kg, with ms office)",nice product light weight. everything is okay.,4,2
36,"hp core i3 11th gen - (8 gb/512 gb ssd/windows 11 home) 15s-dy3501tu thin and light laptop  (15.6 inch, natural silver, 1.75 kg, with ms office)",everything is good must buy,5,2
37,"hp core i3 11th gen - (8 gb/512 gb ssd/windows 11 home) 15s-dy3501tu thin and light laptop  (15.6 inch, natural silver, 1.75 kg, with ms office)",nice product,4,2
38,"hp core i3 11th gen - (8 gb/512 gb ssd/windows 11 home) 15s-dy3501tu thin and light laptop  (15.6 inch, natural silver, 1.75 kg, with ms office)",nice product everything is okay but battery power worst.otherwise no backlight.am not satisfied .i disappointed 😞 for flipkart.,3,1
39,"hp core i3 11th gen - (8 gb/512 gb ssd/windows 11 home) 15s-dy3501tu thin and light laptop  (15.6 inch, natural silver, 1.75 kg, with ms office)","display so bad quality and wifi connectivity ia also poor, camera vry poor. not up to the mark.",1,0
40,"hp core i3 11th gen - (8 gb/512 gb ssd/windows 11 home) 15s-dy3501tu thin and light laptop  (15.6 inch, natural silver, 1.75 kg, with ms office)",very good pc in this price with hp brand,5,2
41,"hp core i3 11th gen - (8 gb/512 gb ssd/windows 11 home) 15s-dy3501tu thin and light laptop  (15.6 inch, natural silver, 1.75 kg, with ms office)",excellent 🤩🤩🤩,5,2
42,"hp core i3 11th gen - (8 gb/512 gb ssd/windows 11 home) 15s-dy3501tu thin and light laptop  (15.6 inch, natural silver, 1.75 kg, with ms office)",awesome laptop 🤩,5,2
43,"asus vivobook 15 (2021) core i3 11th gen - (4 gb/256 gb ssd/windows 10 home) x515ea-ej302ts thin and light laptop  (15.6 inch, transparent silver, 1.80 kg, with ms office)",it's awesome for multipurpose computer very smoothly to use & worked performance is superb i like it 😋😍😇,5,2
44,"asus vivobook 15 (2021) core i3 11th gen - (4 gb/256 gb ssd/windows 10 home) x515ea-ej302ts thin and light laptop  (15.6 inch, transparent silver, 1.80 kg, with ms office)","first impressions are awesome ! will update the review after some usage !edit : review update after a week.well laptop is blazingly fast ! i3 11th processor rocks. ssd also makes it quick. webcam is not that bad. i have seen worse. and i don't know why people are complaining about its display. i didn't find any problems with it so far. on the contrast, i actually liked the display. it is hd and is quite clear. now about battery backup -so if you are using it without wifi. then it will ...",5,2
45,"asus vivobook 15 (2021) core i3 11th gen - (4 gb/256 gb ssd/windows 10 home) x515ea-ej302ts thin and light laptop  (15.6 inch, transparent silver, 1.80 kg, with ms office)",best laptop in this segment...i like this product....but just camera is avarage quality...not so impressive.. overall i think it is a very good product in this price.,5,2
46,"asus vivobook 15 (2021) core i3 11th gen - (4 gb/256 gb ssd/windows 10 home) x515ea-ej302ts thin and light laptop  (15.6 inch, transparent silver, 1.80 kg, with ms office)",value for money at this price range.1) fast fingerprint.2) camera very low quality.3) prosesor super fast.,5,2
47,"asus vivobook 15 (2021) core i3 11th gen - (4 gb/256 gb ssd/windows 10 home) x515ea-ej302ts thin and light laptop  (15.6 inch, transparent silver, 1.80 kg, with ms office)",nice looking,3,1
48,"asus vivobook 15 (2021) core i3 11th gen - (4 gb/256 gb ssd/windows 10 home) x515ea-ej302ts thin and light laptop  (15.6 inch, transparent silver, 1.80 kg, with ms office)","best laptop in this price from asusvery fast processor performance is goodbest for students, official work and entertainment purposes.but camera quality is not good.overall nice laptop.thankyou asus and flipkart.",4,2
49,"asus vivobook 15 (2021) core i3 11th gen - (4 gb/256 gb ssd/windows 10 home) x515ea-ej302ts thin and light laptop  (15.6 inch, transparent silver, 1.80 kg, with ms office)",firstly the price of this laptop is quite impressive and the functions.ssdin this range with this generation the processor is quite fast and in comparison with hdd ssd always gets an upper thumb as it makes your pc/notebook fast.batteryit is not as par with hp as they have 3 cell and in asus they are 2 cell so here in the case of battery it lacks behindcamera: really not good at all it seems like vga camera,5,2
50,"asus vivobook 15 (2021) core i3 11th gen - (4 gb/256 gb ssd/windows 10 home) x515ea-ej302ts thin and light laptop  (15.6 inch, transparent silver, 1.80 kg, with ms office)","read this if you're going to buy any laptopmy advice is please not to look brand in buying laptops .the laptops with same specs of brands hp,full,aver,lenovo,asus etc are same to get to for minimum cost try asusdont feel asus is not as good as hp or dellfor this laptoppros- ●high speed boot up(faster than mac pro)● intel i3 good performance if your use is home,student,and coding●extra slot for ram.if you add 8 gb ram(you can get for just 2500 in flipkart and can add it yourself)you ...",4,2
51,"asus vivobook 15 (2021) core i3 11th gen - (4 gb/256 gb ssd/windows 10 home) x515ea-ej302ts thin and light laptop  (15.6 inch, transparent silver, 1.80 kg, with ms office)",best laptop under 35k just go for it i have got in 33k on sale pro : i3 11th gen under 35 k  * display quality is good but view angle is not so good but it's okay for me * speaker sound is better* it's booting time is fastkeyboard quality is gooddesign is awesomeand the best part is that it comes with extra slot fully confirmed by me and  asus care  you can expand upto 12gb ram there is  4gb onboard ram and extra slot you can put 8 gb there and you can upgrade hdd upto 1tb built quali...,4,2
52,"asus vivobook 15 (2021) core i3 11th gen - (4 gb/256 gb ssd/windows 10 home) x515ea-ej302ts thin and light laptop  (15.6 inch, transparent silver, 1.80 kg, with ms office)",im statisfied .. valueble money,5,2
53,"redmibook 15 e-learning edition core i3 11th gen - (8 gb/256 gb ssd/windows 10 home) thin and light laptop  (15.6 inch, charcoal gray, 1.8 kg, with ms office)",satisfied with laptop. performance is good. problems came like flickering screen and search options not worked when upgraded to windows 11 so i reverted back to 10. so better don't upgrade to windows 11 now wait for some more days.,4,2
54,"redmibook 15 e-learning edition core i3 11th gen - (8 gb/256 gb ssd/windows 10 home) thin and light laptop  (15.6 inch, charcoal gray, 1.8 kg, with ms office)",thanks flipkart for the wonderful deal. fully satisfied as of now right from timely delivery and performance.,5,2
55,"redmibook 15 e-learning edition core i3 11th gen - (8 gb/256 gb ssd/windows 10 home) thin and light laptop  (15.6 inch, charcoal gray, 1.8 kg, with ms office)","performance: today is first day so as per performance level no issue. i am using 10-15 tab in google chrome daily basis. battery: as per company claim 10 hours. this is only for light users. if you use movie & music then may be. design: decent design. display: as per price range best display. value for money: yes this is value for money. today this price 39,990 but it was 37,990 while ordered this one. but i got offer in rs. 32,490 in sale time. i will submit after some days with proper ...",5,2
56,"redmibook 15 e-learning edition core i3 11th gen - (8 gb/256 gb ssd/windows 10 home) thin and light laptop  (15.6 inch, charcoal gray, 1.8 kg, with ms office)",everything is better than other laptops of this range of price but there is only one thing is missing which the numericals pad. overall performance is good. good for using software like autocad.,4,2
57,"redmibook 15 e-learning edition core i3 11th gen - (8 gb/256 gb ssd/windows 10 home) thin and light laptop  (15.6 inch, charcoal gray, 1.8 kg, with ms office)",best part is design and build quality. battery backup is superb only one problem is display is not good very bad viewing angles.,5,2
58,"redmibook 15 e-learning edition core i3 11th gen - (8 gb/256 gb ssd/windows 10 home) thin and light laptop  (15.6 inch, charcoal gray, 1.8 kg, with ms office)",awesome.,4,2
59,"redmibook 15 e-learning edition core i3 11th gen - (8 gb/256 gb ssd/windows 10 home) thin and light laptop  (15.6 inch, charcoal gray, 1.8 kg, with ms office)",i wrote this review after the use of  45 days. i never saw a lack in this laptop and the sound quality is also good. not heating i thought this price range recommend. thanks for reading my review.,5,2
60,"redmibook 15 e-learning edition core i3 11th gen - (8 gb/256 gb ssd/windows 10 home) thin and light laptop  (15.6 inch, charcoal gray, 1.8 kg, with ms office)",nyc laptop,4,2
61,"redmibook 15 e-learning edition core i3 11th gen - (8 gb/256 gb ssd/windows 10 home) thin and light laptop  (15.6 inch, charcoal gray, 1.8 kg, with ms office)","bought it for trading purpose.except for the screen and sound quality, everything working fine, updated to window 11, no issues yet. handles all the task easily. 11th gen processor 🔥",3,1
62,"redmibook 15 e-learning edition core i3 11th gen - (8 gb/256 gb ssd/windows 10 home) thin and light laptop  (15.6 inch, charcoal gray, 1.8 kg, with ms office)",overall good 👍,4,2
63,"asus core i3 11th gen - (8 gb/256 gb ssd/windows 11 home) x515ea-ej312ws thin and light laptop  (15.6 inch, transparent silver, 1.80 kg, with ms office)",good product,5,2
64,"asus core i3 11th gen - (8 gb/256 gb ssd/windows 11 home) x515ea-ej312ws thin and light laptop  (15.6 inch, transparent silver, 1.80 kg, with ms office)",this price range it’s super…..,5,2
65,"asus core i3 11th gen - (8 gb/256 gb ssd/windows 11 home) x515ea-ej312ws thin and light laptop  (15.6 inch, transparent silver, 1.80 kg, with ms office)",very bad experience,1,0
66,"dell inspiron core i3 11th gen - (8 gb/1 tb hdd/256 gb ssd/windows 11 home) inspiron 3511 thin and light laptop  (15.6 inch, carbon black, 1.8 kgs, with ms office)",laptop is amazing and sleek. good for day-to-day use.ssd really helps in boosting the performance however do buy a laptop stand as it may heat up otherwise.boots-up in around 30 secs. windows 11 licensed is pre-installed. works smoothly for not so heavy users.,5,2
67,"dell inspiron core i3 11th gen - (8 gb/1 tb hdd/256 gb ssd/windows 11 home) inspiron 3511 thin and light laptop  (15.6 inch, carbon black, 1.8 kgs, with ms office)",nyce product,4,2
68,"dell inspiron core i3 11th gen - (8 gb/1 tb hdd/256 gb ssd/windows 11 home) inspiron 3511 thin and light laptop  (15.6 inch, carbon black, 1.8 kgs, with ms office)",excellent,5,2
69,"dell inspiron core i3 11th gen - (8 gb/1 tb hdd/256 gb ssd/windows 11 home) inspiron 3511 thin and light laptop  (15.6 inch, carbon black, 1.8 kgs, with ms office)",nice one,4,2
70,"dell inspiron core i3 11th gen - (8 gb/1 tb hdd/256 gb ssd/windows 11 home) inspiron 3511 thin and light laptop  (15.6 inch, carbon black, 1.8 kgs, with ms office)",good  performing laptopbut less port option doesn't have rj45 and type c portand display isn't bright enough,3,1
71,"dell inspiron core i3 11th gen - (8 gb/1 tb hdd/256 gb ssd/windows 11 home) inspiron 3511 thin and light laptop  (15.6 inch, carbon black, 1.8 kgs, with ms office)",awesome.i edited my review after 10 days of using.performance displaybatteryssdhdd....... everything is mind blowing...,5,2
72,"dell inspiron core i3 11th gen - (8 gb/1 tb hdd/256 gb ssd/windows 11 home) inspiron 3511 thin and light laptop  (15.6 inch, carbon black, 1.8 kgs, with ms office)",nice product,5,2
73,"dell inspiron core i3 11th gen - (8 gb/1 tb hdd/256 gb ssd/windows 11 home) inspiron 3511 thin and light laptop  (15.6 inch, carbon black, 1.8 kgs, with ms office)",laptop display is perfect & fastly moved in precess but late for deliver.best budget laptop for coding dell inspiron 3511 256sdd/1tb hdd:-42490/-value for money 💰.battery is normal 4to5 hrs.,5,2
74,"dell inspiron core i3 11th gen - (8 gb/1 tb hdd/256 gb ssd/windows 11 home) inspiron 3511 thin and light laptop  (15.6 inch, carbon black, 1.8 kgs, with ms office)",better option,4,2
75,"dell inspiron core i3 11th gen - (8 gb/1 tb hdd/256 gb ssd/windows 11 home) inspiron 3511 thin and light laptop  (15.6 inch, carbon black, 1.8 kgs, with ms office)",brilliant laptop 😍,5,2
76,"hp ryzen 3 dual core 3250u - (8 gb/256 gb ssd/windows 10 home) 15s-gy0501au thin and light laptop  (15.6 inch, natural silver, 1.69 kg, with ms office)",this is thing i want to be...it s worked suprb fast due to ssd value for money really worth it,4,2
77,"hp ryzen 3 dual core 3250u - (8 gb/256 gb ssd/windows 10 home) 15s-gy0501au thin and light laptop  (15.6 inch, natural silver, 1.69 kg, with ms office)","i writing review for this product after same day used. it's really good laptop for all purposes.. attractive design, good performance etc..on time delivery.. thank you flipkart..😊😊",5,2
78,"hp ryzen 3 dual core 3250u - (8 gb/256 gb ssd/windows 10 home) 15s-gy0501au thin and light laptop  (15.6 inch, natural silver, 1.69 kg, with ms office)","good experience...its better use for office, home and good gaming experience... go for it",4,2
79,"hp ryzen 3 dual core 3250u - (8 gb/256 gb ssd/windows 10 home) 15s-gy0501au thin and light laptop  (15.6 inch, natural silver, 1.69 kg, with ms office)",it's a very good choice in this price range .nice display .and light weight . it also contain ms office lifetime free version .best choice for students and office works .ryzen3 perfomes well and with 256 ssd boots faster .i really like the product,5,2
80,"hp ryzen 3 dual core 3250u - (8 gb/256 gb ssd/windows 10 home) 15s-gy0501au thin and light laptop  (15.6 inch, natural silver, 1.69 kg, with ms office)",such a nice laptop. in my opinion it's the best one. happy to have this as my first pc.,5,2
81,"hp ryzen 3 dual core 3250u - (8 gb/256 gb ssd/windows 10 home) 15s-gy0501au thin and light laptop  (15.6 inch, natural silver, 1.69 kg, with ms office)",v.good  🤞🏻,5,2
82,"hp ryzen 3 dual core 3250u - (8 gb/256 gb ssd/windows 10 home) 15s-gy0501au thin and light laptop  (15.6 inch, natural silver, 1.69 kg, with ms office)",not bad,4,2
83,"hp ryzen 3 dual core 3250u - (8 gb/256 gb ssd/windows 10 home) 15s-gy0501au thin and light laptop  (15.6 inch, natural silver, 1.69 kg, with ms office)",speakers are completely not working well.worst product please don't sold the product.my experience you'll definitely help.please don't sold,1,0
84,"hp ryzen 3 dual core 3250u - (8 gb/256 gb ssd/windows 10 home) 15s-gy0501au thin and light laptop  (15.6 inch, natural silver, 1.69 kg, with ms office)",start hanging within a week,1,0
85,"hp ryzen 3 dual core 3250u - (8 gb/256 gb ssd/windows 10 home) 15s-gy0501au thin and light laptop  (15.6 inch, natural silver, 1.69 kg, with ms office)",great product... happy with the purchase,5,2
86,"lenovo thinkbook 13s core i5 11th gen - (8 gb/512 gb ssd/windows 10 home) tb13s itl gen 2 thin and light laptop  (13 inch, mineral grey, 1.26 kg, with ms office)",great product and best for productivity and professional use only. note for new buyers: this is a 13.3in wqxga display. mentioned 15in is wrong. so buy at your own risk.,5,2
87,"lenovo thinkbook 13s core i5 11th gen - (8 gb/512 gb ssd/windows 10 home) tb13s itl gen 2 thin and light laptop  (13 inch, mineral grey, 1.26 kg, with ms office)",best in  small segment ....portable and powerful,5,2
88,"acer aspire 7 core i5 10th gen - (8 gb/512 gb ssd/windows 10 home/4 gb graphics/nvidia geforce gtx 1650) a715-75g-50ta/ a715-75g-41g/ a715-75g-52aa gaming laptop  (15.6 inch, black, 2.15 kg)","here is my review on this laptop after using for 2 weeks.i've heard that this laptop heats up really quickly, but i didn't felt any thing like that. this laptop never reaches more than 10 degrees above my room temperature, even after i game on it for 4 hours. this can run mostly all games on high setting with 60 fps. i personally have tried 2 games on it valorant and apex legends both runs on high setting with 60 fps. and even this gives me 60 fps with high settings while recording in valor...",5,2
89,"acer aspire 7 core i5 10th gen - (8 gb/512 gb ssd/windows 10 home/4 gb graphics/nvidia geforce gtx 1650) a715-75g-50ta/ a715-75g-41g/ a715-75g-52aa gaming laptop  (15.6 inch, black, 2.15 kg)","good product, i am satisfied all of the features, except battery life, it is very awesome product, wheather have a little bits of improvement in battery life time.",5,2
90,"acer aspire 7 core i5 10th gen - (8 gb/512 gb ssd/windows 10 home/4 gb graphics/nvidia geforce gtx 1650) a715-75g-50ta/ a715-75g-41g/ a715-75g-52aa gaming laptop  (15.6 inch, black, 2.15 kg)",performance is good as i expect in this price segment they giving intel i5 10gen with 4gb nvidia 1650  there are no issue with normal use like surfing  web and it can handle some heavy application like matlab etc it's good for coding etc. if you are a heavy gamer this will not satisfy you but it suits for entry level and lite gamers. worst battery back up it stands for 2 hours in normal usage and in heavy usage it will stands max 1 hours. but it's a value for money laptop and in this price se...,5,2
91,"acer aspire 7 core i5 10th gen - (8 gb/512 gb ssd/windows 10 home/4 gb graphics/nvidia geforce gtx 1650) a715-75g-50ta/ a715-75g-41g/ a715-75g-52aa gaming laptop  (15.6 inch, black, 2.15 kg)","posting this review after 8 days of usepros: value for money          graphics card can handle some good application          and softwares and games( far cry 5, batman arkham          knight) gonna install more after couple of days.          display is good           keyboard is good          battery life is also good as of yet 😅cons: gets heated up really quick while gaming plus                     real hot 🔥           speaker is average overall in this price segment this lapt...",4,2
92,"acer aspire 7 core i5 10th gen - (8 gb/512 gb ssd/windows 10 home/4 gb graphics/nvidia geforce gtx 1650) a715-75g-50ta/ a715-75g-41g/ a715-75g-52aa gaming laptop  (15.6 inch, black, 2.15 kg)","so basically, laptop is well and good. but the huge and huge and huge problem is battery. battery is drains so fast that you can't imagine, and trust me those who personally use this laptop can say same, and second worst part about this laptop is it's speakers, seriously your mobile phone can play better sound than this laptop. pros - 1. laptop performance is good (4.5) 2. laptop display is just ok (4) 3. you will get fast boot time about 6-8 sec (4.5)  cons -1. worst battery (2) 2. ...",3,1
93,"acer aspire 7 core i5 10th gen - (8 gb/512 gb ssd/windows 10 home/4 gb graphics/nvidia geforce gtx 1650) a715-75g-50ta/ a715-75g-41g/ a715-75g-52aa gaming laptop  (15.6 inch, black, 2.15 kg)","best deal in this budget 👌, boot in just fraction of seconds, really very very fast, performance wise it's best in segment, n-vidia graphics card along with 512ssd, makes ideal for gaming & other hevy tasks, only drawback is battery but we should understand that gaming laptop consume more power, rest of the things you will enjoy for sure. what i wants in a laptop it has all.",5,2
94,"acer aspire 7 core i5 10th gen - (8 gb/512 gb ssd/windows 10 home/4 gb graphics/nvidia geforce gtx 1650) a715-75g-50ta/ a715-75g-41g/ a715-75g-52aa gaming laptop  (15.6 inch, black, 2.15 kg)","value for money!  amazing laptop i got!  it has mind blowing perfomance, it takes only 8 - 9 sec to boot ! build quality is also good...design is excellent ! it is completly made up of plastic but...build quality feels like it has mettalic body ! this is a quick review !",5,2
95,"acer aspire 7 core i5 10th gen - (8 gb/512 gb ssd/windows 10 home/4 gb graphics/nvidia geforce gtx 1650) a715-75g-50ta/ a715-75g-41g/ a715-75g-52aa gaming laptop  (15.6 inch, black, 2.15 kg)",total good laptop,5,2
96,"acer aspire 7 core i5 10th gen - (8 gb/512 gb ssd/windows 10 home/4 gb graphics/nvidia geforce gtx 1650) a715-75g-50ta/ a715-75g-41g/ a715-75g-52aa gaming laptop  (15.6 inch, black, 2.15 kg)",amazing laptop. it has a premium and professional look with powerful hardware. sound is a bit low but i bought external speakers for that so no problem. everything else about the laptop easily makes up for that. thanks alot flipkart for the fast and safe delivery,5,2
97,"acer aspire 7 core i5 10th gen - (8 gb/512 gb ssd/windows 10 home/4 gb graphics/nvidia geforce gtx 1650) a715-75g-50ta/ a715-75g-41g/ a715-75g-52aa gaming laptop  (15.6 inch, black, 2.15 kg)",a very nice laptop with good display . also very well performed in day to day activities as well as gaming.definitely worth for money.  buy it!!!,5,2
98,"dell vostro ryzen 3 dual core r3-3250u - (8 gb/1 tb hdd/windows 11 home) vostro 3405 thin and light laptop  (14 inch, accent black, 1.59 kg, with ms office)",good,5,2
